Sat1.X                    Sat1.Y                    Sat1.Z                    Sat1.ElapsedDays          Sat1.RAAN                 Sat1.Earth.RMAG           
-339.281                  5980.54                   4381.09                   0.302276                  98.766                    7421.31                   
-189.079                  5511.45                   4966.27                   0.303485                  98.7667                   7421.3                    
-36.8067                  4983.66                   5498.87                   0.304694                  98.7675                   7421.31                   
115.93                    4402.7                    5973.21                   0.305903                  98.7686                   7421.36                   
267.507                   3774.71                   6384.19                   0.307113                  98.7699                   7421.45                   
416.313                   3106.32                   6727.37                   0.308324                  98.7713                   7421.59                   
560.756                   2404.64                   6999.02                   0.309535                  98.7729                   7421.79                   
699.292                   1677.12                   7196.19                   0.310747                  98.7746                   7422.05                   
830.437                   931.54                    7316.72                   0.311959                  98.7764                   7422.38                   
952.784                   175.853                   7359.27                   0.313172                  98.7783                   7422.77                   
1065.02                   -581.835                  7323.35                   0.314384                  98.7801                   7423.22                   
1165.93                   -1333.4                   7209.33                   0.315597                  98.7819                   7423.73                   
1254.43                   -2070.79                  7018.42                   0.31681                   98.7837                   7424.28                   
1329.59                   -2786.08                  6752.68                   0.318022                  98.7853                   7424.87                   
1390.59                   -3471.64                  6414.96                   0.319235                  98.7868                   7425.48                   
1436.79                   -4120.14                  6008.92                   0.320447                  98.7881                   7426.1                    
1467.69                   -4724.65                  5538.93                   0.321659                  98.7892                   7426.72                   
1482.98                   -5278.74                  5010.05                   0.322871                  98.7902                   7427.31                   
1482.51                   -5776.54                  4427.98                   0.324082                  98.7909                   7427.87                   
